ID,bGenuine
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,0
122,0
123,1
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,0
187,0
188,0
189,0
190,1
191,0
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,1
255,0
256,1
257,1
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,1
320,0
321,0
322,1
323,1
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,1
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,1
416,1
417,1
418,1
419,0
420,0
421,0
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,0
440,0
441,1
442,1
443,0
444,1
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,1
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,1
473,1
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,1
528,0
529,1
530,0
531,1
532,0
533,0
534,1
535,0
536,0
537,1
538,0
539,1
540,1
541,1
542,1
543,0
544,1
545,0
546,0
547,0
548,1
549,1
550,0
551,1
552,0
553,0
554,0
555,1
556,0
557,1
558,1
559,1
560,1
561,1
562,1
563,0
564,0
565,0
566,0
567,1
568,0
569,0
570,1
571,0
572,1
573,1
574,1
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,0
589,1
590,1
591,0
592,0
593,0
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,0
616,1
617,0
618,0
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,0
627,1
628,0
629,0
630,0
631,1
632,1
633,0
634,0
635,0
636,0
637,1
638,1
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,0
660,1
661,0
662,1
663,1
664,0
665,0
666,0
667,1
668,0
669,0
670,1
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,0
681,1
682,1
683,1
684,0
685,0
686,1
687,1
688,1
689,0
690,1
691,0
692,1
693,0
694,1
695,1
696,0
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,0
717,1
718,1
719,1
720,0
721,0
722,1
723,0
724,1
725,1
726,1
727,0
728,0
729,0
730,0
731,0
732,0
733,1
734,1
735,1
736,0
737,0
738,0
739,1
740,1
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,0
767,1
768,0
769,1
770,0
771,1
772,1
773,0
774,0
775,1
776,0
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,1
811,1
812,0
813,0
814,1
815,1
816,0
817,0
818,1
819,1
820,0
821,0
822,1
823,0
824,0
825,0
826,1
827,1
828,0
829,0
830,0
831,0
832,0
833,0
834,1
835,0
836,0
837,0
838,0
839,0
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,0
848,0
849,1
850,0
851,1
852,0
853,0
854,0
855,0
856,0
857,1
858,1
859,1
860,0
861,0
862,0
863,0
864,1
865,1
866,1
867,0
868,0
869,1
870,0
871,0
872,1
873,0
874,1
875,1
876,1
877,1
878,0
879,1
880,0
881,0
882,0
883,1
884,0
885,1
886,1
887,1
888,1
889,1
890,1
891,0
892,0
893,0
894,0
895,1
896,0
897,1
898,1
899,1
900,1
901,0
902,1
903,1
904,0
905,0
906,1
907,1
908,1
909,1
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,1
918,0
919,1
920,0
921,0
922,1
923,1
924,1
925,1
926,1
927,0
928,0
929,1
930,1
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,1
939,0
940,0
941,1
942,0
943,0
944,1
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,0
966,0
967,1
968,0
969,1
970,1
971,1
972,1
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,1
986,0
987,1
988,0
989,1
990,0
991,0
992,0
993,1
994,1
995,1
996,0
997,0
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,0
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,1
1027,1
1028,0
1029,1
1030,0
1031,1
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,0
1056,0
1057,0
1058,0
1059,1
1060,1
1061,0
1062,0
1063,1
1064,1
1065,1
1066,1
1067,0
1068,1
1069,0
1070,1
1071,0
1072,1
1073,0
1074,0
1075,0
1076,1
1077,0
1078,1
1079,0
1080,0
1081,1
1082,0
1083,0
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,0
1093,1
1094,0
1095,0
1096,1
1097,0
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,1
1106,0
1107,0
1108,0
1109,1
1110,0
1111,0
1112,0
1113,1
1114,1
1115,0
1116,0
1117,0
1118,0
1119,0
1120,1
1121,1
1122,0
1123,1
1124,1
1125,0
1126,1
1127,1
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,1
1136,0
1137,0
1138,1
1139,0
1140,0
1141,0
1142,0
1143,1
1144,1
1145,1
1146,0
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,1
1154,1
1155,1
1156,1
1157,0
1158,0
1159,1
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,0
1167,1
1168,0
1169,1
1170,0
1171,0
1172,1
1173,0
1174,0
1175,1
1176,0
1177,1
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,0
1192,1
1193,1
1194,1
1195,1
1196,0
1197,1
1198,1
1199,1
1200,1
1201,0
1202,1
1203,1
1204,0
1205,1
1206,1
1207,1
1208,0
1209,1
1210,1
1211,0
1212,0
1213,1
1214,0
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,0
1222,1
1223,1
1224,0
1225,1
1226,0
1227,1
1228,1
1229,1
